iShares Global 100 ETF,
,
Share Class Inception,05-Dec-2000
,
Month End Date,Monthly Total (NAV) Return
30-Sep-2020,-2.25
31-Oct-2020,-1.11
30-Nov-2020,5.84
31-Dec-2020,-0.26
31-Jan-2021,0.59
28-Feb-2021,0.80
31-Mar-2021,4.84
30-Apr-2021,3.41
31-May-2021,0.87
30-Jun-2021,5.38
31-Jul-2021,4.60
31-Aug-2021,3.30
30-Sep-2021,-3.62
31-Oct-2021,2.25
30-Nov-2021,5.31
31-Dec-2021,1.81
31-Jan-2022,0.47
28-Feb-2022,-5.86
31-Mar-2022,-0.21
30-Apr-2022,-2.97
31-May-2022,-0.22
30-Jun-2022,-3.96
