ETF Names,STD_5_years,Returns_Average_5_years,Class
iShares Asia 50 ETF,3.9278468148710814,0.5283606557377051,1
iShares China Large-Cap ETF,4.750721314228449,0.1373770491803279,1
iShares Core Cash ETF,0.0711010210282301,0.0752459016393442,2
iShares Core Composite Bond ETF,1.2306100046751438,0.0491803278688524,3
iShares Core Global Corporate Bond (AUD Hedged) ETF,1.660461289518389,0.0381967213114754,3
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,4.618472845082563,0.6804918032786886,1
iShares Core MSCI World ex Australia ESG Leaders ETF,3.4701549074886,0.8144262295081968,0
iShares Core S&P/ASX 200 ETF,4.399501629748981,0.6359016393442622,1
iShares Edge MSCI Australia Minimum Volatility ETF,4.146270283973244,0.5416393442622951,1
iShares Edge MSCI Australia Multifactor ETF,4.424237305762985,0.5867213114754097,1
iShares Edge MSCI World Minimum Volatility ETF,2.7713329139997924,0.6085245901639343,4
iShares Edge MSCI World Multifactor ETF,3.4016099772252657,0.6472131147540982,0
iShares Enhanced Cash ETF,0.0781322264417389,0.0877049180327868,2
iShares Global 100 (AUD Hedged) ETF,4.251366498412615,0.8772131147540985,1
iShares Global 100 ETF,3.1909301708422357,1.0152459016393445,0
iShares Global Consumer Staples ETF,3.136695556854927,0.519016393442623,4
iShares Global Healthcare ETF,3.003537822893514,0.9785245901639344,0
iShares Global High Yield Bond (AUD Hedged) ETF,2.49731352925258,0.0657377049180328,4
iShares Government Inflation ETF,1.8147391237948485,0.1095081967213115,3
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,3.0923365173622392,-0.1631147540983607,4
iShares MSCI EAFE ETF,3.0947753699039184,0.3340983606557377,4
iShares MSCI Emerging Markets ETF,3.2963907154088816,0.3055737704918033,4
iShares MSCI Japan ETF,3.235276645462888,0.2998360655737705,4
iShares MSCI South Korea ETF,4.746756396124938,0.1334426229508196,1
iShares S&P 500 (AUD Hedged) ETF,4.884614750093461,0.8359016393442623,1
iShares S&P 500 ETF,3.521195423874504,1.0637704918032789,0
iShares S&P/ASX 20 ETF,4.156094511040318,0.6586885245901637,1
iShares S&P/ASX Dividend Opportunities ETF,4.512418644347832,0.3747540983606557,1
iShares S&P/ASX Small Ordinaries ETF,5.503717670513387,0.5442622950819672,1
iShares S&P Mid-Cap ETF,4.412325811976974,0.7932786885245904,1
iShares S&P Small-Cap ETF,4.987846036861172,0.8595081967213117,1
iShares Treasury ETF,1.410285616152162,0.0424590163934426,3
