ETF Names,STD_2019_2020,Mean_2019_2020
iShares Asia 50 ETF,3.518414744,1.286153846
iShares China Large-Cap ETF,3.488395414,0.207692308
iShares Core Cash ETF,0.036829475,0.076923077
iShares Core Composite Bond ETF,1.014292731,0.386923077
iShares Core Global Corporate Bond (AUD Hedged) ETF,2.547621314,0.639230769
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,6.119099146,0.479230769
iShares Core MSCI World ex Australia ESG Leaders ETF,4.105201672,0.681538462
iShares Core S&P/ASX 200 ETF,7.404534214,-0.065384615
iShares Edge MSCI Australia Minimum Volatility ETF,7.241138439,0.017692308
iShares Edge MSCI Australia Multifactor ETF,7.651538893,-0.028461538
iShares Edge MSCI World Minimum Volatility ETF,3.765490229,0.29
iShares Edge MSCI World Multifactor ETF,4.450914916,0.455384615
iShares Enhanced Cash ETF,0.039483849,0.086153846
iShares Global 100 (AUD Hedged) ETF,5.490179694,1.096923077
iShares Global 100 ETF,3.386044512,1.301538462
iShares Global Consumer Staples ETF,3.088493326,0.430769231
iShares Global Healthcare ETF,3.203619147,1.516153846
iShares Global High Yield Bond (AUD Hedged) ETF,4.391459514,0.05
iShares Government Inflation ETF,2.254087455,0.194615385
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,4.630717395,0.334615385
iShares MSCI EAFE ETF,3.743049114,0.1
iShares MSCI Emerging Markets ETF,3.914442522,0.204615385
iShares MSCI Japan ETF,3.379247565,0.601538462
iShares MSCI South Korea ETF,4.657647145,0.504615385
iShares S&P 500 (AUD Hedged) ETF,6.367658971,0.898461538
iShares S&P 500 ETF,4.171038117,1.166153846
iShares S&P/ASX 20 ETF,6.691531196,-0.236923077
iShares S&P/ASX Dividend Opportunities ETF,7.326628374,-0.41
iShares S&P/ASX Small Ordinaries ETF,8.891946875,-0.022307692
iShares S&P Mid-Cap ETF,6.252687627,0.247692308
iShares S&P Small-Cap ETF,6.479837268,-0.140769231
iShares Treasury ETF,1.246183919,0.390769231
