ETF Names,STD_2020_2021,Mean_2020_2021
iShares Asia 50 ETF,3.015198042,2.572307692
iShares China Large-Cap ETF,3.665790921,0.603076923
iShares Core Cash ETF,0.005188745,0.005384615
iShares Core Composite Bond ETF,1.168062169,-0.047692308
iShares Core Global Corporate Bond (AUD Hedged) ETF,1.253186707,0.314615385
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,3.58709832,2.789230769
iShares Core MSCI World ex Australia ESG Leaders ETF,2.696627048,2.031538462
iShares Core S&P/ASX 200 ETF,3.013075565,2.139230769
iShares Edge MSCI Australia Minimum Volatility ETF,2.412177971,1.502307692
iShares Edge MSCI Australia Multifactor ETF,2.403344891,1.91
iShares Edge MSCI World Minimum Volatility ETF,2.736020412,0.579230769
iShares Edge MSCI World Multifactor ETF,2.498739169,1.771538462
iShares Enhanced Cash ETF,0.026626572,0.026153846
iShares Global 100 (AUD Hedged) ETF,3.987564002,2.57
iShares Global 100 ETF,2.66908392,1.776153846
iShares Global Consumer Staples ETF,3.450279067,0.603846154
iShares Global Healthcare ETF,3.284477674,0.534615385
iShares Global High Yield Bond (AUD Hedged) ETF,1.49589181,0.863846154
iShares Government Inflation ETF,1.843719763,0.467692308
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,2.310645098,0.738461538
iShares MSCI EAFE ETF,2.837139224,1.493846154
iShares MSCI Emerging Markets ETF,1.650482059,2.139230769
iShares MSCI Japan ETF,3.179534718,0.750769231
iShares MSCI South Korea ETF,3.713036631,3.480769231
iShares S&P 500 (AUD Hedged) ETF,3.932451281,2.746923077
iShares S&P 500 ETF,2.813164337,1.864615385
iShares S&P/ASX 20 ETF,3.021287932,2.398461538
iShares S&P/ASX Dividend Opportunities ETF,3.352751262,1.869230769
iShares S&P/ASX Small Ordinaries ETF,3.584294087,2.111538462
iShares S&P Mid-Cap ETF,3.14674659,2.481538462
iShares S&P Small-Cap ETF,3.881391173,3.388461538
iShares Treasury ETF,1.383053107,-0.142307692
