ETF Names,STD_2021_2022,Mean_2021_2022
iShares Asia 50 ETF,4.323177547,-1.721538462
iShares China Large-Cap ETF,7.037962081,-1.104615385
iShares Core Cash ETF,0.016132464,0.005384615
iShares Core Composite Bond ETF,1.755787865,-0.799230769
iShares Core Global Corporate Bond (AUD Hedged) ETF,1.724989781,-1.046923077
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,4.990665518,-0.613846154
iShares Core MSCI World ex Australia ESG Leaders ETF,4.172249286,0.048461538
iShares Core S&P/ASX 200 ETF,4.080421515,-0.273076923
iShares Edge MSCI Australia Minimum Volatility ETF,4.060677283,-0.02
iShares Edge MSCI Australia Multifactor ETF,4.099393326,-0.533846154
iShares Edge MSCI World Minimum Volatility ETF,2.940767604,0.381538462
iShares Edge MSCI World Multifactor ETF,3.262656028,-0.249230769
iShares Enhanced Cash ETF,0.018501559,0.006153846
iShares Global 100 (AUD Hedged) ETF,4.284791231,-0.182307692
iShares Global 100 ETF,3.727770524,0.483076923
iShares Global Consumer Staples ETF,3.574886048,0.665384615
iShares Global Healthcare ETF,3.419324982,1.05
iShares Global High Yield Bond (AUD Hedged) ETF,2.204922523,-1.02
iShares Government Inflation ETF,2.181174701,-0.786923077
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,3.415878646,-1.915384615
iShares MSCI EAFE ETF,2.803740405,-0.654615385
iShares MSCI Emerging Markets ETF,3.484362319,-1.248461538
iShares MSCI Japan ETF,3.425452806,-0.834615385
iShares MSCI South Korea ETF,4.000117787,-2.366153846
iShares S&P 500 (AUD Hedged) ETF,5.151337143,-0.739230769
iShares S&P 500 ETF,3.926538242,0.272307692
iShares S&P/ASX 20 ETF,3.959927317,-0.240769231
iShares S&P/ASX Dividend Opportunities ETF,4.254899438,-0.052307692
iShares S&P/ASX Small Ordinaries ETF,5.428478325,-1.344615385
iShares S&P Mid-Cap ETF,2.928681772,-0.375384615
iShares S&P Small-Cap ETF,2.738523137,-0.473846154
iShares Treasury ETF,1.945673043,-0.794615385
