ETF Names,STD_2017_2022,Mean_2017_2022
iShares Asia 50 ETF,3.9278468148710814,0.5283606557377051
iShares China Large-Cap ETF,4.750721314228449,0.13737704918032795
iShares Core Cash ETF,0.07110102102823018,0.07524590163934423
iShares Core Composite Bond ETF,1.2306100046751438,0.049180327868852486
iShares Core Global Corporate Bond (AUD Hedged) ETF,1.660461289518389,0.038196721311475446
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,4.618472845082563,0.6804918032786886
iShares Core MSCI World ex Australia ESG Leaders ETF,3.4701549074885993,0.8144262295081968
iShares Core S&P/ASX 200 ETF,4.399501629748981,0.6359016393442622
iShares Edge MSCI Australia Minimum Volatility ETF,4.1462702839732435,0.5416393442622951
iShares Edge MSCI Australia Multifactor ETF,4.424237305762985,0.5867213114754097
iShares Edge MSCI World Minimum Volatility ETF,2.7713329139997924,0.6085245901639343
iShares Edge MSCI World Multifactor ETF,3.4016099772252657,0.6472131147540982
iShares Enhanced Cash ETF,0.07813222644173894,0.08770491803278686
iShares Global 100 (AUD Hedged) ETF,4.251366498412615,0.8772131147540985
iShares Global 100 ETF,3.1909301708422353,1.0152459016393445
iShares Global Consumer Staples ETF,3.136695556854927,0.519016393442623
iShares Global Healthcare ETF,3.003537822893514,0.9785245901639343
iShares Global High Yield Bond (AUD Hedged) ETF,2.49731352925258,0.06573770491803287
iShares Government Inflation ETF,1.8147391237948483,0.10950819672131154
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,3.0923365173622392,-0.1631147540983607
iShares MSCI EAFE ETF,3.0947753699039184,0.3340983606557377
iShares MSCI Emerging Markets ETF,3.2963907154088816,0.30557377049180334
iShares MSCI Japan ETF,3.235276645462888,0.29983606557377057
iShares MSCI South Korea ETF,4.746756396124938,0.13344262295081966
iShares S&P 500 (AUD Hedged) ETF,4.884614750093461,0.8359016393442623
iShares S&P 500 ETF,3.521195423874504,1.0637704918032789
iShares S&P/ASX 20 ETF,4.156094511040318,0.6586885245901637
iShares S&P/ASX Dividend Opportunities ETF,4.512418644347832,0.3747540983606557
iShares S&P/ASX Small Ordinaries ETF,5.503717670513387,0.5442622950819672
iShares S&P Mid-Cap ETF,4.412325811976974,0.7932786885245904
iShares S&P Small-Cap ETF,4.987846036861172,0.8595081967213117
iShares Treasury ETF,1.410285616152162,0.04245901639344265
