ETF Names,STD_2018_2019,Mean_2018_2019
iShares Asia 50 ETF,4.892725631,0.278461538
iShares China Large-Cap ETF,4.385783122,0.225384615
iShares Core Cash ETF,0.01660244,0.163846154
iShares Core Composite Bond ETF,0.650198195,0.729230769
iShares Core Global Corporate Bond (AUD Hedged) ETF,1.048265356,0.635384615
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,4.853091138,0.475384615
iShares Core MSCI World ex Australia ESG Leaders ETF,3.957060875,0.958461538
iShares Core S&P/ASX 200 ETF,3.085629637,1.124615385
iShares Edge MSCI Australia Minimum Volatility ETF,2.671452836,1.274615385
iShares Edge MSCI Australia Multifactor ETF,3.23293508,0.947692308
iShares Edge MSCI World Minimum Volatility ETF,2.269190243,1.540769231
iShares Edge MSCI World Multifactor ETF,4.092473705,0.519230769
iShares Enhanced Cash ETF,0.031132471,0.182307692
iShares Global 100 (AUD Hedged) ETF,4.505707207,0.821538462
iShares Global 100 ETF,3.769037999,1.301538462
iShares Global Consumer Staples ETF,2.776303113,1.556153846
iShares Global Healthcare ETF,3.547918675,1.565384615
iShares Global High Yield Bond (AUD Hedged) ETF,1.706480484,0.576153846
iShares Government Inflation ETF,0.994835381,0.711538462
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,2.22080691,0.79
iShares MSCI EAFE ETF,3.327389251,0.567692308
iShares MSCI Emerging Markets ETF,3.762746031,0.350769231
iShares MSCI Japan ETF,3.351674859,0.059230769
iShares MSCI South Korea ETF,5.501943596,-0.65
iShares S&P 500 (AUD Hedged) ETF,5.235254873,0.814615385
iShares S&P 500 ETF,4.266816654,1.449230769
iShares S&P/ASX 20 ETF,2.970447389,1.359230769
iShares S&P/ASX Dividend Opportunities ETF,3.718760994,0.91
iShares S&P/ASX Small Ordinaries ETF,4.190384904,0.266153846
iShares S&P Mid-Cap ETF,5.472095296,0.834615385
iShares S&P Small-Cap ETF,6.188239984,0.441538462
iShares Treasury ETF,0.818052722,0.825384615
