ETF_Names,30-Jun-19,31-Jul-19,31-Aug-19,30-Sep-19,31-Oct-19,30-Nov-19,31-Dec-19,31-Jan-20,29-Feb-20,31-Mar-20,30-Apr-20,31-May-20,30-Jun-20,31-Jul-20,31-Aug-20,30-Sep-20,31-Oct-20,30-Nov-20,31-Dec-20,31-Jan-21,28-Feb-21,31-Mar-21,30-Apr-21,31-May-21,30-Jun-21,31-Jul-21,31-Aug-21,30-Sep-21,31-Oct-21,30-Nov-21,31-Dec-21,31-Jan-22,28-Feb-22,31-Mar-22,30-Apr-22,31-May-22,30-Jun-22,STD_2019_2020,STD_2020_2021,STD_2021_2022,Class,PCT_Cumulative_Returns,Target_met
iShares Asia 50 ETF,6.81,-0.84,-2.85,3.24,2.12,2.52,4.41,-0.92,3.41,-5.19,-0.24,-1.45,5.7,2.91,0.36,3,5.45,4.86,2.59,8.07,0.22,-1.09,-1.37,-1.18,3.92,-6.44,-0.44,-4.79,-1.6,1.42,-1.74,4.32,-9.21,-8.37,-0.8,0.93,0.42,3.518414744,3.015198042,4.323177547,0,-5.93E+13,FALSE
iShares China Large-Cap ETF,5.44,-2.18,-2.63,1.63,1.22,1.34,4.14,-4.36,6.23,-2.74,-3.9,-0.2,-1.29,0.04,3.04,-1.42,7.17,1.57,-4.48,6.92,-1.48,-3.34,-2.2,-0.29,3.6,-10.63,1.57,-3.79,-0.37,0.31,-5.64,7.02,-10.68,-11.48,2.27,2.01,11.45,3.488395414,3.665790921,7.037962081,0,-3.24E+15,FALSE
iShares Core Cash ETF,0.13,0.13,0.08,0.09,0.08,0.08,0.08,0.09,0.07,0.1,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0.03,0.05,0.036829475,0.005188745,0.016132464,2,0,FALSE
iShares Core Composite Bond ETF,1.01,0.96,1.49,-0.49,-0.51,0.8,-1.65,2.31,0.84,-0.22,-0.09,0.27,0.31,0.36,-0.43,1.07,0.26,-0.12,-0.28,-0.45,-3.61,0.79,0.55,0.25,0.68,1.75,0.09,-1.53,-3.59,2.08,0.08,-1.03,-1.23,-3.78,-1.52,-0.9,-1.49,1.014292731,1.168062169,1.755787865,2,3.74E-05,FALSE
iShares Core Global Corporate Bond (AUD Hedged) ETF,2.31,0.88,2.01,-0.51,0.2,0.16,0.24,1.98,0.04,-6.57,4.56,1.15,1.86,1.77,-1.08,0.11,-0.06,2.18,0.42,-1.01,-2.18,0.05,0.36,0.58,1.09,1.17,-0.24,-1.19,0.21,-0.1,-0.16,-2.82,-2.26,-1.5,-4.65,-0.18,-2.98,2.547621314,1.253186707,1.724989781,5,6.29E-05,FALSE
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,5.47,1,-1.89,2.53,1.79,2.97,2.21,-0.93,-8.35,-14.58,9.2,4.73,2.08,2.97,5.54,-2.81,-2.51,11.2,3.61,-0.12,3.26,4.71,3.61,1.35,3.37,2.77,3.71,-4.31,6.91,-0.64,3.92,-6.36,-3.65,3.3,-8.34,-1.4,-7.26,6.119099146,3.58709832,4.990665518,1,2.23E+20,FALSE
iShares Core MSCI World ex Australia ESG Leaders ETF,4.87,2.14,0.4,2.22,0.38,4.54,-0.87,3.74,-4.79,-9.51,3.43,3.56,-1.25,0.35,2.94,-0.23,-0.47,7.2,-0.23,0.25,2.27,5.46,2.81,1.56,5.75,4.95,4.14,-3.51,3.12,4.69,1.6,-3.45,-6.45,-0.43,-3.93,-2.1,-3.75,4.105201672,2.696627048,4.172249286,4,2.59E+13,FALSE
iShares Core S&P/ASX 200 ETF,3.69,2.92,-2.36,1.83,-0.37,3.27,-2.18,4.97,-7.69,-20.62,8.76,4.35,2.58,0.51,2.82,-3.68,1.93,10.21,1.2,0.31,1.45,2.44,3.46,2.33,2.25,1.1,2.5,-1.87,-0.11,-0.56,2.74,-6.35,2.14,6.87,-0.86,-2.61,-8.79,7.404534214,3.013075565,4.080421515,3,-3.79E+15,FALSE
iShares Edge MSCI Australia Minimum Volatility ETF,4.34,3.53,-1.39,0.69,-0.2,1.99,-2.59,4.81,-7,-20.12,8.8,4.96,2.41,0.93,0.8,-3.22,1.23,6.16,0.65,0.18,-1.8,3.96,2.94,2.57,2.72,1.73,2.64,-2,-0.6,1.36,3.2,-7.86,2.65,5.35,1.42,-3.77,-7.1,7.241138439,2.412177971,4.060677283,3,3.39E+15,FALSE
iShares Edge MSCI Australia Multifactor ETF,4.02,4.17,-3.48,1.13,-0.8,1.88,-0.35,4.03,-9.55,-19.71,10.39,6.8,1.1,1.84,2.08,-2.82,2.42,6,3.59,-0.69,-0.4,1.7,5.43,1.39,3.19,1.33,-0.03,-2.74,-0.81,-1.23,3.94,-6.22,1.99,5.72,0.36,-3.45,-8.99,7.651538893,2.403344891,4.099393326,3,-4.41E+14,FALSE
iShares Edge MSCI World Minimum Volatility ETF,4.02,2.12,3.03,1.15,-1.09,2.48,-1.96,5.87,-4.89,-7.2,2.05,1.63,-3.44,-0.15,-0.78,1.09,-0.5,2.96,-2.27,-0.91,-1.95,6.61,1.75,1.59,3.53,4.65,2.04,-3.41,-0.99,3.69,3.6,-2.29,-4.07,1.11,0.28,-1.41,-1.77,3.765490229,2.736020412,2.940767604,4,-5.67E+12,FALSE
iShares Edge MSCI World Multifactor ETF,6.01,1.76,-0.88,2.13,0.29,5.28,-1.49,2.89,-5.13,-9.97,3.16,4.09,-2.22,0.74,1.59,0.65,0.01,6.44,-0.54,0.5,2.16,6.52,2.15,1.87,3.16,3.35,2.29,-4.07,0.18,3.6,3.23,-2.62,-3.46,-1.1,-1.31,-0.14,-6.35,4.450914916,2.498739169,3.262656028,4,-34641526592,FALSE
iShares Enhanced Cash ETF,0.15,0.15,0.09,0.1,0.09,0.09,0.09,0.1,0.08,0,0.08,0.05,0.05,0.08,0.04,0.01,0.06,0.05,0.01,0.01,-0.01,0.01,0.01,0.01,0.01,0.02,0,0,-0.01,0.01,0,0,0,-0.01,-0.02,0.03,0.05,0.039483849,0.026626572,0.018501559,2,0,FALSE
iShares Global 100 (AUD Hedged) ETF,5.98,1.45,-2.42,3.1,1.93,2.93,3.23,0.72,-8.96,-10.05,9.9,2.65,3.8,3.12,7.1,-5,-3.34,10.15,3.91,0.03,1.7,3.93,4.31,0.46,3.24,2.19,2.9,-4.14,5.81,-0.29,4.32,-2.63,-2.65,3.34,-7.02,-0.16,-7.28,5.490179694,3.987564002,4.284791231,1,5.29E+17,FALSE
iShares Global 100 ETF,5.1,2.15,0.13,2.98,0.81,4.7,-0.15,5.39,-5.03,-4.99,3.84,1.81,0.18,0.31,4.49,-2.25,-1.11,5.84,-0.26,0.59,0.8,4.84,3.41,0.87,5.38,4.6,3.3,-3.62,2.25,5.31,1.81,0.47,-5.86,-0.21,-2.97,-0.22,-3.96,3.386044512,2.66908392,3.727770524,4,14052384479,FALSE
iShares Global Consumer Staples ETF,3.01,3.2,4.37,0.61,-2.77,2.57,-1.73,4.63,-5.33,-0.07,-1,1.08,-2.97,1.22,-0.17,1.8,-2.08,2.82,-1.83,-3.79,-3.28,8.54,1.69,3.14,2.76,3.17,1.44,-2.59,-1.13,3.59,5.8,0.42,-4.16,-3.48,6.33,-3.88,0.38,3.088493326,3.450279067,3.574886048,4,1.72E+13,FALSE
